Column4,Column1,Column2,Column3,,,Tree Id,Accuracy,,Tree Id,Accuracy,Tree Id,Accuracy
,Tree Id,,Accuracy,,1,1_WA,0.041,,1_WA,0.04099142,110_GA,0.82903389
,1_WA,1,0.04099142,,2,11_GA,0.570,,11_GA,0.569533394,111_GA,0.859592712
,11_GA,11,0.569533394,,3,12_WA,0.893,,12_WA,0.892608729,112_GA,0.493333333
,12_WA,12,0.892608729,,4,12D_WA,0.600,,12D_WA,0.6,113_GA,0.874586245
,12D_WA,12D,0.6,,5,13_WA,0.774,,13_WA,0.774005487,116_GA,0.738292748
,13_WA,13,0.774005487,,6,14_WA,0.787,,14_WA,0.787253142,118_GA,0.74201053
,14_WA,14,0.787253142,,7,14.5_WA,0.782,,14.5_WA,0.781614786,119_GA,0.79032108
,14.5_WA,14.5,0.781614786,,8,15_WA,0.720,,15_WA,0.720271801,120_GA,0.380521829
,15_WA,15,0.720271801,,9,16_WA,0.629,,16_WA,0.628875111,201_WA,0.800492611
,16_WA,16,0.628875111,,10,17_WA,0.637,,17_WA,0.636640387,201D_WA,0.536526946
,17_WA,17,0.636640387,,11,18_WA,0.750,,18_WA,0.749628161,202_WA,0.583058824
,18_WA,18,0.749628161,,12,19_WA,0.702,,19_WA,0.701896222,203_WA,0.636392915
,19_WA,19,0.701896222,,13,20_WA,0.724,,20_WA,0.723649247,208.5_WA,0.890756303
,20_WA,20,0.723649247,,14,22_WA,0.629,,22_WA,0.628774929,208.5D_WA,0.899705015
,22_WA,22,0.628774929,,15,23_WA,0.715,,23_WA,0.715005931,209_WA,0.410531013
,23_WA,23,0.715005931,,16,24_WA,0.786,,24_WA,0.786063255,217_WA,0.339922647
,24_WA,24,0.786063255,,17,25_WA,0.661,,25_WA,0.660811479,219_WA,0.49688958
,25_WA,25,0.660811479,,18,31_WA,0.034,,31_WA,0.034023669,226_WA,0.15984556
,31_WA,31,0.034023669,,19,101_GA,0.881,,101_GA,0.880758808,227_WA,0.462626263
,101_GA,101,0.880758808,,20,102_GA,0.719,,102_GA,0.71927042,228_WA,0.456363636
,102_GA,102,0.71927042,,21,102.5_WA,0.678,,102.5_WA,0.678246927,228D_WA,0.209012464
,102.5_WA,102.5,0.678246927,,22,103_GA,0.472,,103_GA,0.471935853,230_WA,0.35864486
,103_GA,103,0.471935853,,23,104_GA,0.721,,104_GA,0.721122112,230D_WA,0.096426163
,104_GA,104,0.721122112,,24,105_GA,0.712,,105_GA,0.71226273,232_WA,0.345409429
,105_GA,105,0.71226273,,25,106_GA,0.723,,106_GA,0.723368279,232D_WA,0.166367713
,106_GA,106,0.723368279,,26,107_GA,0.894,,107_GA,0.893738574,234_WA,0.366412214
,107_GA,107,0.893738574,,27,107.5_GA,0.227,,107.5_GA,0.227133563,235_WA,0.189479976
,107.5_GA,107.5,0.227133563,,28,108_GA,0.695,,108_GA,0.69535413,237_WA,0.251621271
,108_GA,108,0.69535413,,29,109_GA,0.799,,109_GA,0.798999255,237D_WA,0.20758483
,109_GA,109,0.798999255,,30,109D_GA,0.754,,109D_GA,0.753693542,,
,109D_GA,109D,0.753693542,,31,110_GA,0.829,,,,Average:,0.581004982
,110_GA,110,0.82903389,,32,111_GA,0.860,,,,,
,111_GA,111,0.859592712,,33,112_GA,0.493,,,,,
,112_GA,112,0.493333333,,34,113_GA,0.875,,,,,
,113_GA,113,0.874586245,,35,116_GA,0.738,,,,,
,116_GA,116,0.738292748,,36,118_GA,0.742,,,,,
,118_GA,118,0.74201053,,37,119_GA,0.790,,,,,
,119_GA,119,0.79032108,,38,120_GA,0.381,,,,,
,120_GA,120,0.380521829,,39,201_WA,0.800,,,,,
,201_WA,201,0.800492611,,40,201D_WA,0.537,,,,,
,201D_WA,201D,0.536526946,,41,202_WA,0.583,,,,,
,202_WA,202,0.583058824,,42,203_WA,0.636,,,,,
,203_WA,203,0.636392915,,43,208.5_WA,0.891,,,,,
,208.5_WA,208.5,0.890756303,,44,208.5D_WA,0.900,,,,,
,208.5D_WA,208.5D,0.899705015,,45,209_WA,0.411,,,,,
,209_WA,209,0.410531013,,46,217_WA,0.340,,,,,
,217_WA,217,0.339922647,,47,219_WA,0.497,,,,,
,219_WA,219,0.49688958,,48,226_WA,0.160,,,,,
,226_WA,226,0.15984556,,49,227_WA,0.463,,,,,
,227_WA,227,0.462626263,,50,228_WA,0.456,,,,,
,228_WA,228,0.456363636,,51,228D_WA,0.209,,,,,
,228D_WA,228D,0.209012464,,52,230_WA,0.359,,,,,
,230_WA,230,0.35864486,,53,230D_WA,0.096,,,,,
,230D_WA,230D,0.096426163,,54,232_WA,0.345,,,,,
,232_WA,232,0.345409429,,55,232D_WA,0.166,,,,,
,232D_WA,232D,0.166367713,,56,234_WA,0.366,,,,,
,234_WA,234,0.366412214,,57,235_WA,0.189,,,,,
,235_WA,235,0.189479976,,58,237_WA,0.252,,,,,
,237_WA,237,0.251621271,,59,237D_WA,0.208,,,,,
,237D_WA,237D,0.20758483,,,,,,,,,
,,,,,,Average:,0.581,,,,,
,Average:,,0.581004982,,,,,,,,,
